قطر مرادف الارهاب ,hate
ارمني يوناني يحمل جنسية المانية من مواليد سوريا يعني ابوه كان لاجئ كلب ابن شحاطة بسوريا كاتب على واجهة شركته الخاصة يجب ان ترحل ميركل لك ياحيف على الفول والحمص اللي اكلته بببلدنا يا ابن الصرماية,hate
يا حمار قمة يعني زبالة,abusive
ما حدا غير يلي خلفتك عاهرة يا منحط يا سافل ,abusive
طيب كلي هوا وخليكي بزباله لبنان,abusive
حسن عليق؟؟؟ كول هوا,abusive
يا حبيبي سعد الحريري باع دم بيو كرمال يعمر سوريا تفه شو واطي رح تروحو تحت الدعس طول بالك انت بدك تحكي رأيس وليد بيك جنبلاط يا وطي,hate
عامليتلي بلوك الحيوانة,abusive
اخرس يا أيها النجس الخنزير الديوث انت وبشار الكيماوي وحزب الشيطان والمجوس إلى مزبلة التاريخ ,hate
لك يقطع عمرن اسم على مسمى,abusive
كان زهايمر ياتي في عمر متأخر بس ها الزمن بلش الزهايمر من عندك للعمر متأخر محتاج الى حكيم نفساني ليعالج هواجس عقلك ,abusive
ابوك الحرامي طبعا يا عيلة وسخة بلا شرف ولا اخلاق,abusive
دويلة قطر بحق دولة مارقة فاسدة سيئة السمعة ,hate
يا غيني ما هيدا حليف ايران ة إيران حليفة سوريا و سوريا حليفة حزب الله وانت كلب حزب الله يعني كيف زبطت معك   ,abusive
لا والله ان مصر عصيه عليه وعلي مليون زي تميم البغل ده ,abusive
والامن متفلت، والمحاكم نهشها الفساد، ورجال الدولة خيرهم للخارج، والتلوث باعلى درجاته ,normal
شو هالغبية او شو هالحمارة عم يحكي عن رجوع سوريا الى الجامعة العربية فشو دخل لبنان ؟,abusive
حيوان هوي وحذبو معوّدين عالزحف والتزقيف,abusive
عادي قولي يلعن روحك بلا مؤاخزة يا حافظ,abusive
كول هوا فطس لملكك انشالله بلكي منخلص من عدد اليهود الموجودين المدعيين انن مسلملين,abusive
الاناء ينضح بما فيه عثمان رجل دوله وانت قاتل محمد ابو ذياب ,abusive
هل بادروهم اليونانين بالمثل للسورين بيوم الصعوبات التي يمرون بها السوريون ام عملوا عليهم تسكير على شواطئ بحر اليونان,normal
مستحيل هالعمرو خالد ما ازنخه يخرب دياره شي مو طبيعي,abusive
يتيم المجد يدفع لكم ملياردولار واخرتها تحطون صورته وتكتبون تميم العنز  مالكم حل اخذتم الفل… ,normal
الروس المفروض ينشهروا بالوقاحة مو بالڤودكا,hate
منافق جبران باسيل,abusive
تضرب انت والفهم يا محترف انت مين انت لتحكي عن السومة هيك الغير احترافي واحد  متلك طشم يحكي هيك عن  كابتن بحجم انديه كبرى و للعلم السومه اكثر حدا بادر للالحتاق بالمعسكرات للمنتخب ف سدووو لبوزك,abusive
يلعن روحك رشيد كرامي على روح فيصل الديوس كلب ايران هيدا الكلام من مسلم سني لبناني وطني,abusive
قلتلكم ما تفوتو بالشخصي ما بدكم يلا انقلعي يا بنت الكلب انت كمان شعب مجوي غير هيك ما بتمشوا بتضلكم تهينو الواحد تتنزلو لمستواكم يا كلاب,hate
مياومو الإعلام وشائعاتكم ما رح تغبروا عل صرماية الوزير الملك جبران باسيل يلي بتشرف إعلامكم وأصحاب محطاتكم المأجورين للخارج تفه,hate
انقبر كول هوا كل الاحزاب والمليشيات اللبنانية والاحتلالات والارهابيين والعصابات المسلحة قبل الحرب وبعد الحرب أطل…,abusive
ما حارقلكم قلبكم غير لبنان يا كلاب,abusive
بس ولاك ما حدا قاهركن الا جبران باسيل اندال,abusive
يا إمّعَة يا ربع رجال بيشرفك اللواء يا جاهل الجاهلية ,abusive
انت بس عم تكتب لتفرجي الناس انك بتطااع بالكتب وانت لا تعرف عير لغة الصرامي يا احقر المخلوقات ,abusive
هههه سعودي شو هيدا مرتد لولد لولد وتاني شي كردي ,hate
سد بوزك انت جايي تتفلسف هون روح انقبر انضب وضب لسانك يا حقير احقر البشر انت وامثالك ولا تجيب سيرة السيد حسين ع لسانك لان ح يجي يوم وينقطع يا بلا اخلاق,abusive
كول هوا مش شغلك,abusive
شو خلصنا من العونية طلعولنا كلاب نصرالله يهوشو,hate
لا نخشاك ياسفاح الشام بحياة امك تخبرني بشو نتصر اسدك بس فاتح عيونك يا بهيم يلي عم دافع عنو هو يلي قتل ابنك وخيك وبيك وكل عايلتك هو يلي باع شرفك يا بلا شرف ما اقرفك,abusive
يعني حمار وعارف أن الفلوس لسيدك حسن الزباله ,abusive
تفيييييي على أحسن شيخ بسوريا ازا ما بدهن حرق العمى هدول باعو آخرتهم بدنياهم,hate
الأردن بنت ميتين الوسخة قفلت الحدود بشكل كامل مع درعا عشان لا مدني ولا عسكري يعدي لما حملة النظام تبدأ الأردن ياما عطلت,hate
مياومو الإعلام وشائعاتكم ما رح تغبروا عل صرماية الوزير الملك جبران باسيل يلي بتشرف إعلامكم وأصحاب محطاتكم المأجورين,abusive
كلاب جبران ,abusive
بلعربي لمشبرح كول هوا,abusive
اي شو هل العهد القوي يلي بدو دنب الكلب يتوسطلوا,abusive
والله انك كذاب يا اصلع الرأس والاخلاق بس ماقصر الزول نتف باقي الشعر…,hate
وانت ياحمار لازم كمان تعرف انت ومعلمك الهبيلة انو صرمايت لصغير بي بيت الحريري ابتسوى رقبتكون افهمت ولا برجع بعيد سدو لنيعك ياحقير ,abusive
شام يا ذا السيف لم يغب ,normal
نعم إن منعها هو خوفاً من أن يورط صغار القوم كبارهم ,normal
انا برأيي تسد نيعك وما تتفلسف كلهم فاسدين، انا بوافق بس تبييض وتطبيل من المتخلفين الكل… ,abusive
ولاك انت يمكن سوري او جربوع او حيوان بس كون اكيد انو الحريري بصرماينو داعس عليكم,hate
ﻳﻢ ﻣﺸﻬﺪﻱ ﺍﻟﻮﺣﻴﺪ ﺏ ﺳﻮﺭﻳﺎ ﻳﻠﻲ ﻓﻴﻪ ﻳﻜﻮﻥ ﺭﻭﻣﻨﺴﻲ ﻫﻞ ﺍﻟﺨﺮﻳﻒ ﻫﻮ ﻳﻠﻲ ﻋﻨﺪﻭ ﺧﺰﺍﻥ ﻣﺎﺯﻭﺕ معبى,normal
هيدا السيد يلي عم تحكي عنو غبرة صرمايتو بتشرف الأندال يلي مثلكم ,abusive
قد يكون كما تدعين لكن له مبدأ واضح مو متل العواهر الي عندك ,hate
ولك يلعن روح ابوك على ابوه للإسد يا خنزير يا ابن الخنازير بس ولا ارنب بس ولا بلا شرف انت وخنزير الضاحيه,abusive
انا مش عربية انا فينيقية لا يا شطورة إنتي حمارة,abusive
حذف تغريدته لانه كلب من كلاب الترك شركسي الاصل او يوناني,hate
طيب حضرتك شو عمبتقدم لبلدك غير لغة الصرامي ,abusive
لك يا حجي عيفك من بشار الجحش صار في عنا أولويات أهم لا بديل عن إسقاط نصر الحريري لابديل عن إسقاط النظام,abusive
ولك استحي بقى ما في عا لسانك الا سوريا ,abusive
كول هوا انت  ,abusive
