,0.06641040065004063
«بخرق,3.125195324707794e-05
«حزب,3.125195324707794e-05
«عكاظ»,3.125195324707794e-05
«عودة,3.125195324707794e-05
«معك,3.125195324707794e-05
،,0.0019063691480717545
،،,0.0002187636727295456
،،،,3.125195324707794e-05
،،،،,3.125195324707794e-05
،،،،،,3.125195324707794e-05
،،…,3.125195324707794e-05
،خافوا,3.125195324707794e-05
،روحي,3.125195324707794e-05
،صراحا,3.125195324707794e-05
،عيب,3.125195324707794e-05
،في,3.125195324707794e-05
،هذا,3.125195324707794e-05
،وانت,3.125195324707794e-05
،وتستقبل,3.125195324707794e-05
،ومين,3.125195324707794e-05
،وهل,3.125195324707794e-05
؟,0.0007812988311769486
؟؟,0.00018751171948246765
؟؟؟,6.250390649415588e-05
؟؟؟؟,3.125195324707794e-05
؟؟؟؟؟,3.125195324707794e-05
؟؟؟؟؟بيرمو,3.125195324707794e-05
؟زهقتنا,3.125195324707794e-05
آب,6.250390649415588e-05
آبار,3.125195324707794e-05
آحا,3.125195324707794e-05
آخ,6.250390649415588e-05
آخذ,3.125195324707794e-05
آخذك,3.125195324707794e-05
آخر,0.00040627539221201324
آخرتنا,3.125195324707794e-05
آدميّة,3.125195324707794e-05
آذار,3.125195324707794e-05
آرائه,3.125195324707794e-05
آسف,3.125195324707794e-05
آسيا,3.125195324707794e-05
آشور,3.125195324707794e-05
آكلين,3.125195324707794e-05
آل,6.250390649415588e-05
آلاف,3.125195324707794e-05
آلان,6.250390649415588e-05
آمين,3.125195324707794e-05
آن,9.375585974123383e-05
أب,6.250390649415588e-05
أبحاث,3.125195324707794e-05
أبراهيم,3.125195324707794e-05
أبرياء,3.125195324707794e-05
أبعد,3.125195324707794e-05
أبناء,3.125195324707794e-05
أبو,0.0003125195324707794
أبواب,3.125195324707794e-05
أبواق,6.250390649415588e-05
أبوذياب,3.125195324707794e-05
أبوك,3.125195324707794e-05
أبوكم,3.125195324707794e-05
أبيا,3.125195324707794e-05
أبيت,3.125195324707794e-05
أتابع,3.125195324707794e-05
أتاتورك,3.125195324707794e-05
أتت,3.125195324707794e-05
أتحفونا,3.125195324707794e-05
أتخلي,3.125195324707794e-05
أتعبدون,3.125195324707794e-05
أتم,3.125195324707794e-05
أتمنى,0.00012500781298831177
أثبت,6.250390649415588e-05
أثبتت,3.125195324707794e-05
أثري,3.125195324707794e-05
أجل,0.0001562597662353897
أجلك,3.125195324707794e-05
أجلكن,3.125195324707794e-05
أجلّك,3.125195324707794e-05
أجمعين،,3.125195324707794e-05
أجمل,9.375585974123383e-05
أجنبية,3.125195324707794e-05
أحاورك,3.125195324707794e-05
أحب,0.0001562597662353897
أحترمي,3.125195324707794e-05
أحد,0.0003750234389649353
أحدكم,3.125195324707794e-05
أحذية,6.250390649415588e-05
أحسن,9.375585974123383e-05
أحسنت,3.125195324707794e-05
أحلام,3.125195324707794e-05
أحلامهم,3.125195324707794e-05
أحلى,9.375585974123383e-05
أحمد,0.00012500781298831177
أحمق,3.125195324707794e-05
أحياء,3.125195324707794e-05
أخ,6.250390649415588e-05
أخا,3.125195324707794e-05
أخبار,3.125195324707794e-05
أخبارن,3.125195324707794e-05
أخبرنا,3.125195324707794e-05
أخجلته,3.125195324707794e-05
أخدن,6.250390649415588e-05
أخذت,6.250390649415588e-05
أخرجت,3.125195324707794e-05
أخرى,0.0001562597662353897
أخضر,3.125195324707794e-05
أخطأ,3.125195324707794e-05
أخلاق,6.250390649415588e-05
أخلاقك,3.125195324707794e-05
أخوة,3.125195324707794e-05
أخوتنا,3.125195324707794e-05
أخوه,3.125195324707794e-05
أخي,6.250390649415588e-05
أداء,6.250390649415588e-05
أداة,3.125195324707794e-05
أدان,3.125195324707794e-05
أدرعي,3.125195324707794e-05
أدري,3.125195324707794e-05
أديب,3.125195324707794e-05
أذا,3.125195324707794e-05
أذكى,3.125195324707794e-05
أذواقهم,3.125195324707794e-05
أراد,3.125195324707794e-05
أرادت,6.250390649415588e-05
أرادوا,3.125195324707794e-05
أراه,3.125195324707794e-05
أرباح…,3.125195324707794e-05
أربعين,3.125195324707794e-05
أردت,3.125195324707794e-05
أردوغان,3.125195324707794e-05
أرض,3.125195324707794e-05
أرفع,3.125195324707794e-05
أرقام,3.125195324707794e-05
أرنب,6.250390649415588e-05
أريحية,3.125195324707794e-05
أريد,6.250390649415588e-05
أزرها,3.125195324707794e-05
أزمة,6.250390649415588e-05
أزنخ,3.125195324707794e-05
أسأل,3.125195324707794e-05
أسئلة,3.125195324707794e-05
أساء,6.250390649415588e-05
أساس,9.375585974123383e-05
أساليب,3.125195324707794e-05
أسامة,3.125195324707794e-05
أسباب,3.125195324707794e-05
أستاذ,0.0002187636727295456
أسطع,3.125195324707794e-05
أسكت,3.125195324707794e-05
أسماء,6.250390649415588e-05
أسوأ,6.250390649415588e-05
أسيادك,6.250390649415588e-05
أسيادهم,3.125195324707794e-05
أشبو,3.125195324707794e-05
أشخاص,9.375585974123383e-05
أشد,3.125195324707794e-05
أشرف,0.0001562597662353897
أشهر,3.125195324707794e-05
أشهرمن,3.125195324707794e-05
أصابني,3.125195324707794e-05
أصبح,9.375585974123383e-05
أصبحت,9.375585974123383e-05
أصبحنا,3.125195324707794e-05
أصحاب,9.375585974123383e-05
أصحابك,3.125195324707794e-05
أصحابكم,3.125195324707794e-05
أصحابها,3.125195324707794e-05
أصحابي,3.125195324707794e-05
أصدق,3.125195324707794e-05
أصدقاء,3.125195324707794e-05
أصدقائه,3.125195324707794e-05
أصغر,3.125195324707794e-05
أصل,3.125195324707794e-05
أصلا,6.250390649415588e-05
أصلاً,9.375585974123383e-05
أصلك,6.250390649415588e-05
أصناف,6.250390649415588e-05
أصوات,0.00012500781298831177
أصواتكم,3.125195324707794e-05
أصول,3.125195324707794e-05
أضحك,3.125195324707794e-05
أضرب,3.125195324707794e-05
أضربو,3.125195324707794e-05
أطالب,3.125195324707794e-05
أطباء,3.125195324707794e-05
أطلقت,3.125195324707794e-05
أظلم,3.125195324707794e-05
أعتبرك,3.125195324707794e-05
أعتقد,3.125195324707794e-05
أعجوبة,3.125195324707794e-05
أعداءالانسانيةأولا,3.125195324707794e-05
أعز,3.125195324707794e-05
أعزائي,3.125195324707794e-05
أعصابو,3.125195324707794e-05
أعضاء,6.250390649415588e-05
أعطتنا,3.125195324707794e-05
أعطوك,3.125195324707794e-05
أعطوني,3.125195324707794e-05
أعلنت,0.00012500781298831177
أعلى,3.125195324707794e-05
أعملك,6.250390649415588e-05
أعوام,3.125195324707794e-05
أعيد,3.125195324707794e-05
أغاث,3.125195324707794e-05
أغتيالوا,3.125195324707794e-05
أغلبية,9.375585974123383e-05
أغلط,3.125195324707794e-05
أغلى,3.125195324707794e-05
أفاتارك,3.125195324707794e-05
أفادت,3.125195324707794e-05
أفارقة,3.125195324707794e-05
أفحمتني,3.125195324707794e-05
أفسده,3.125195324707794e-05
أفضل,6.250390649415588e-05
أفعال,3.125195324707794e-05
أفقد,3.125195324707794e-05
أفي,3.125195324707794e-05
أقترح,6.250390649415588e-05
أقر,3.125195324707794e-05
أقرب,3.125195324707794e-05
أقرت,3.125195324707794e-05
أقلك,3.125195324707794e-05
أقمار,3.125195324707794e-05
أقوى,3.125195324707794e-05
أكادي…,3.125195324707794e-05
أكبر,0.00018751171948246765
أكتر,0.00034377148571785736
أكثرهم,3.125195324707794e-05
أكثرية,3.125195324707794e-05
أكد,3.125195324707794e-05
أكدوا,3.125195324707794e-05
أكلنا,3.125195324707794e-05
أكن,3.125195324707794e-05
أكيد,0.0002812675792237015
أكّدت,3.125195324707794e-05
أل,3.125195324707794e-05
ألحذاء,3.125195324707794e-05
ألسياسين,3.125195324707794e-05
ألف,0.00012500781298831177
ألفين,3.125195324707794e-05
ألقاها,3.125195324707794e-05
